unit_id,outcome,mean_baseline_rate_hz,mean_response_rate_hz,n_trials,mean_evoked_rate_hz
1126285077,hit,3.274074074074074,9.57037037037037,135,6.296296296296296
1126285077,miss,3.0930232558139537,6.395348837209302,86,3.3023255813953485
1126285078,hit,7.17037037037037,9.837037037037037,135,2.666666666666667
1126285078,miss,7.8604651162790695,9.046511627906977,86,1.1860465116279073
1126285081,hit,12.814814814814815,15.451851851851853,135,2.6370370370370377
1126285081,miss,14.023255813953488,17.25581395348837,86,3.2325581395348824
1126285082,hit,4.133333333333334,8.829629629629629,135,4.696296296296295
1126285082,miss,8.0,10.348837209302326,86,2.348837209302326
1126285083,hit,2.2074074074074073,12.222222222222221,135,10.014814814814814
1126285083,miss,2.604651162790698,10.976744186046512,86,8.372093023255815
1126285084,hit,3.3333333333333335,1.8074074074074074,135,-1.5259259259259261
1126285084,miss,3.627906976744186,2.627906976744186,86,-1.0
1126285086,hit,0.42962962962962964,0.4444444444444444,135,0.01481481481481478
1126285086,miss,0.4418604651162791,0.2558139534883721,86,-0.18604651162790697
1126285088,hit,0.9481481481481482,0.5185185185185185,135,-0.4296296296296297
1126285088,miss,2.0697674418604652,1.8372093023255813,86,-0.2325581395348839
1126285091,hit,8.355555555555556,8.607407407407408,135,0.25185185185185155
1126285091,miss,6.930232558139535,6.651162790697675,86,-0.2790697674418601
1126285092,hit,0.7111111111111111,4.266666666666667,135,3.5555555555555554
1126285092,miss,1.441860465116279,8.395348837209303,86,6.953488372093024
1126285093,hit,45.46666666666667,98.23703703703704,135,52.77037037037037
1126285093,miss,63.604651162790695,91.55813953488372,86,27.953488372093027
1126285094,hit,0.7555555555555555,3.9555555555555557,135,3.2
1126285094,miss,0.7441860465116279,4.186046511627907,86,3.4418604651162794
1126285095,hit,3.096296296296296,13.614814814814816,135,10.518518518518519
1126285095,miss,4.790697674418604,9.046511627906977,86,4.2558139534883725
1126285097,hit,0.34074074074074073,2.488888888888889,135,2.1481481481481484
1126285097,miss,0.5581395348837209,2.6511627906976742,86,2.093023255813953
1126285100,hit,20.651851851851852,25.77777777777778,135,5.125925925925927
1126285100,miss,22.41860465116279,20.25581395348837,86,-2.1627906976744207
1126285101,hit,14.014814814814814,13.851851851851851,135,-0.16296296296296298
1126285101,miss,17.209302325581394,13.69767441860465,86,-3.5116279069767433
1126285102,hit,2.5925925925925926,10.948148148148148,135,8.355555555555554
1126285102,miss,2.813953488372093,9.069767441860465,86,6.2558139534883725
1126285105,hit,25.22962962962963,43.48148148148148,135,18.25185185185185
1126285105,miss,26.0,35.44186046511628,86,9.441860465116278
1126285109,hit,13.97037037037037,37.12592592592593,135,23.15555555555556
1126285109,miss,16.627906976744185,28.325581395348838,86,11.697674418604652
1126285115,hit,1.0222222222222221,8.044444444444444,135,7.022222222222222
1126285115,miss,1.8837209302325582,5.651162790697675,86,3.7674418604651168
1126285116,hit,15.644444444444444,19.362962962962964,135,3.71851851851852
1126285116,miss,19.58139534883721,17.558139534883722,86,-2.0232558139534866
1126285117,hit,1.5703703703703704,1.0814814814814815,135,-0.48888888888888893
1126285117,miss,1.0,0.7674418604651163,86,-0.2325581395348837
1126285120,hit,0.17777777777777778,0.5333333333333333,135,0.3555555555555555
1126285120,miss,0.16279069767441862,0.7906976744186046,86,0.627906976744186
1126285123,hit,9.303703703703704,21.48148148148148,135,12.177777777777777
1126285123,miss,11.418604651162791,14.046511627906977,86,2.6279069767441854
1126285124,hit,7.733333333333333,9.866666666666667,135,2.1333333333333337
1126285124,miss,5.767441860465116,6.465116279069767,86,0.6976744186046515
1126285125,hit,5.348148148148148,4.7555555555555555,135,-0.5925925925925926
1126285125,miss,5.837209302325581,5.744186046511628,86,-0.09302325581395277
1126285126,hit,1.511111111111111,6.666666666666667,135,5.155555555555556
1126285126,miss,1.0232558139534884,5.767441860465116,86,4.7441860465116275
1126285129,hit,4.42962962962963,16.237037037037037,135,11.807407407407407
1126285129,miss,5.069767441860465,14.674418604651162,86,9.604651162790697
1126285130,hit,0.6222222222222222,2.533333333333333,135,1.911111111111111
1126285130,miss,1.4651162790697674,1.4186046511627908,86,-0.046511627906976605
1126285132,hit,1.4962962962962962,4.696296296296296,135,3.2
1126285132,miss,1.441860465116279,3.8372093023255816,86,2.3953488372093026
1126285133,hit,6.874074074074074,15.25925925925926,135,8.385185185185186
1126285133,miss,7.604651162790698,13.348837209302326,86,5.744186046511628
1126285134,hit,8.37037037037037,21.955555555555556,135,13.585185185185185
1126285134,miss,9.767441860465116,19.372093023255815,86,9.604651162790699
1126285135,hit,1.8962962962962964,8.014814814814814,135,6.118518518518518
1126285135,miss,3.116279069767442,5.930232558139535,86,2.8139534883720927
1126285140,hit,12.814814814814815,17.066666666666666,135,4.2518518518518515
1126285140,miss,13.325581395348838,17.046511627906977,86,3.720930232558139
1126285142,hit,4.222222222222222,10.385185185185184,135,6.162962962962962
1126285142,miss,5.325581395348837,8.720930232558139,86,3.395348837209302
